comparison,subject,trial,muscle,muscle_label,rmse_m,nrmse_pct_of_base_rom,corr,peak_delta_m,min_delta_m,rom_delta_pct
scaled_vs_unscaled,S135,S135_G03_D01_B01_T02,glut_med1_r,Glut. medius,0.0008676423434130991,3.437936888940727,0.9999996340676522,0.0012931756506936176,0.0002236381252922609,4.2379242329497755
scaled_vs_unscaled,S135,S135_G03_D01_B01_T02,rect_fem_r,Rect. femoris,0.024471436773426017,30.46252764173807,0.9999948807027595,0.02389478242240123,0.02531694274791807,-1.770333251298297
scaled_vs_unscaled,S135,S135_G03_D01_B01_T02,vas_lat_r,Vast. lateralis,0.013453743771805216,24.493285412327612,0.9999240804030269,0.012962431005361263,0.0151752322993641,-4.028527268994285
scaled_vs_unscaled,S135,S135_G03_D01_B01_T02,tib_ant_r,Tib. anterior,7.802902584428467e-05,0.34545188759127643,0.9999926964481568,6.789105693183473e-05,0.00015961052570440115,-0.40606252959741373
scaled_vs_unscaled,S135,S135_G03_D01_B01_T02,soleus_r,Soleus,0.00479209093469963,18.654381170246968,0.9999987246177772,-0.003798576341191462,-0.006148453698862522,9.147469973058083
scaled_vs_unscaled,S135,S135_G03_D01_B01_T02,med_gas_r,Med. gastrocnemius,0.00823113144255604,37.13805141731149,0.999939948066734,-0.007309644154201711,-0.009331931017894146,9.124358424902155
scaled_vs_unscaled,S135,S135_G03_D01_B01_T02,semimem_r,Semimembranosus,0.022811689864754688,49.4835237179133,0.9998952718867249,0.02232683261725399,0.023256975807496805,-2.0176831654435996
scaled_vs_unscaled,S135,S135_G03_D01_B01_T02,semiten_r,Semitendinosus,0.02142679614733462,38.90429711819479,0.9998733169074375,0.020813361362615135,0.02198114348832131,-2.1203236580678233
scaled_vs_unscaled,S135,S135_G03_D01_B01_T02,bifemlh_r,Biceps femoris LH,0.022386283387012387,39.159080768748126,0.9999326150967579,0.02179377207939981,0.022842697163467318,-1.8348263254451391
scaled_vs_unscaled,S135,S135_G03_D01_B01_T02,bifemsh_r,Biceps femoris SH,0.009571323929114252,124.7222236573215,0.9999646009869558,0.009482797754569616,0.009654106878808855,-2.232298798592999
scaled_vs_unscaled,S135,S135_G03_D01_B01_T03,glut_med1_r,Glut. medius,0.0009347417082657924,3.7519532777129285,0.9999996537535266,0.0013500608968316508,0.00030660892107335636,4.188304668511854
scaled_vs_unscaled,S135,S135_G03_D01_B01_T03,rect_fem_r,Rect. femoris,0.024439466172296115,29.757083108734584,0.9999950517873121,0.023853058798811888,0.025304478005492126,-1.7672236232293983
scaled_vs_unscaled,S135,S135_G03_D01_B01_T03,vas_lat_r,Vast. lateralis,0.01344595510024418,23.564613161238686,0.9999202020902441,0.012989169528983269,0.015176273071006302,-3.8329927868353346
scaled_vs_unscaled,S135,S135_G03_D01_B01_T03,tib_ant_r,Tib. anterior,7.140494091615765e-05,0.3405213610176385,0.9999938106396604,6.311561400090815e-05,0.00014582508443811149,-0.3944312687744489
scaled_vs_unscaled,S135,S135_G03_D01_B01_T03,soleus_r,Soleus,0.004830124673571006,20.25765136169985,0.9999989109513729,-0.0038667797923458425,-0.006046028722760222,9.139818958348634
scaled_vs_unscaled,S135,S135_G03_D01_B01_T03,med_gas_r,Med. gastrocnemius,0.008310829268970728,41.90444582486913,0.9999252289276755,-0.007430886439690865,-0.00924665149337417,9.155359334217918
scaled_vs_unscaled,S135,S135_G03_D01_B01_T03,semimem_r,Semimembranosus,0.022851015330386235,47.277428727924075,0.9999003510082266,0.02234583438414639,0.02332492687366039,-2.0256857177584973
scaled_vs_unscaled,S135,S135_G03_D01_B01_T03,semiten_r,Semitendinosus,0.021479992484406147,37.23016896092023,0.999882299965304,0.0208422809672818,0.022053713986533774,-2.0997147007537977
scaled_vs_unscaled,S135,S135_G03_D01_B01_T03,bifemlh_r,Biceps femoris LH,0.022441584211177108,37.76888694655954,0.9999365748532801,0.021813495865391053,0.022936863572608268,-1.890612870020612
scaled_vs_unscaled,S135,S135_G03_D01_B01_T03,bifemsh_r,Biceps femoris SH,0.009582352319566393,108.49022042390271,0.9999800904387858,0.009484139659839352,0.009679615147472398,-2.213149551752092
scaled_vs_unscaled,S146,S146_G03_D01_B01_T01,glut_med1_r,Glut. medius,0.002555159050257499,9.562378487959668,0.9999965962423096,0.0036126709780409105,0.000687118389818428,10.94853219888373
scaled_vs_unscaled,S146,S146_G03_D01_B01_T01,rect_fem_r,Rect. femoris,0.06410385334303259,83.14442870600557,0.9999938468961396,0.06297700239978388,0.06528308343224276,-2.9910493674619216
scaled_vs_unscaled,S146,S146_G03_D01_B01_T01,vas_lat_r,Vast. lateralis,0.035170517699122,67.60063511294534,0.999554459734362,0.034447283775924875,0.03828199892850076,-7.370638726703653
scaled_vs_unscaled,S146,S146_G03_D01_B01_T01,tib_ant_r,Tib. anterior,0.00270657376037668,13.856541902959622,0.999982596495799,0.0026597025955518716,0.002826894670447888,-0.8559545006883518
