subject,trial,muscle,muscle_label,rmse_m,nrmse_pct_of_sagittal_rom,corr,peak_delta_pct,min_delta_pct,rom_delta_pct
S146,S146_G03_D01_B01_T01,vas_lat_r,Vast. lateralis,3.291044265960936e-17,6.325658452543334e-14,0.9999999999999998,-1.386850868079945e-14,0.0,-5.334850500618964e-14
S146,S146_G03_D01_B01_T01,tib_ant_r,Tib. anterior,4.487366227105554e-17,2.297346522385554e-13,1.0,0.0,1.878625122774284e-14,-2.8419421054698985e-13
S146,S146_G03_D01_B01_T01,soleus_r,Soleus,5.092476225044159e-17,2.3646349484198083e-13,1.0,1.8512643720134635e-14,-1.994512827777345e-14,5.155197684887034e-13
S146,S146_G03_D01_B01_T01,med_gas_r,Med. gastrocnemius,7.073615859477146e-17,3.6095227356182856e-13,1.0,-3.614131791268211e-14,-1.2582226593392794e-14,-5.665242965692531e-13
S146,S146_G03_D01_B01_T01,semimem_r,Semimembranosus,0.0009455841231017529,2.133460673542207,0.9991465083411161,-0.15701593092672883,0.4241077807130468,-5.370618281178253
S146,S146_G03_D01_B01_T01,semiten_r,Semitendinosus,0.001875248880779532,3.443517236006097,0.9978989089163508,-0.3164707476013561,0.7132165828467054,-8.726799809695422
S146,S146_G03_D01_B01_T01,bifemlh_r,Biceps femoris LH,0.001646168470945782,2.8985373805311183,0.9991819149746465,-0.4319043002898296,0.7015186341448889,-8.420711689891187
S146,S146_G03_D01_B01_T01,bifemsh_r,Biceps femoris SH,3.7968238914832647e-17,6.076393990244627e-13,1.0,0.0,1.1270311297471273e-14,-4.441970912712037e-13
S146,S146_G03_D01_B01_T02,glut_med1_r,Glut. medius,0.0051834934688970305,39.80684999945363,0.950455175793076,6.415270872588826,-5.872194170517044,112.57010761293375
S146,S146_G03_D01_B01_T02,rect_fem_r,Rect. femoris,0.0011127392821126602,1.3848288619053957,0.9998314479824885,-0.4128429329346545,0.387675616442947,-3.8513511785698675
S146,S146_G03_D01_B01_T02,vas_lat_r,Vast. lateralis,3.393735764567107e-17,6.468770270480346e-14,1.0,0.0,0.0,0.0
S146,S146_G03_D01_B01_T02,tib_ant_r,Tib. anterior,4.621346871644291e-17,2.268207053786592e-13,0.9999999999999999,-1.7612564376526992e-14,0.0,-2.724547372955663e-13
S146,S146_G03_D01_B01_T02,soleus_r,Soleus,4.5548492052001025e-17,2.0344646713415532e-13,1.0,0.0,1.995924152992239e-14,-2.4794558712626087e-13
S146,S146_G03_D01_B01_T02,med_gas_r,Med. gastrocnemius,6.921008354036351e-17,3.429625298355726e-13,0.9999999999999997,-1.2029301586128569e-14,0.0,-2.750790619874644e-13
S146,S146_G03_D01_B01_T02,semimem_r,Semimembranosus,0.0010407790649665815,2.350805885534012,0.9989309406178037,-0.19512524834377284,0.44898936311788246,-5.968169078285114
S146,S146_G03_D01_B01_T02,semiten_r,Semitendinosus,0.002062930797725039,3.7988936675673814,0.9973290475382205,-0.3861521170366451,0.7460678969465303,-9.641990019805915
S146,S146_G03_D01_B01_T02,bifemlh_r,Biceps femoris LH,0.0017925944812362442,3.1609569351335223,0.9989840904967402,-0.4743075391954047,0.741585988185738,-9.038556810330647
S146,S146_G03_D01_B01_T02,bifemsh_r,Biceps femoris SH,3.6846780968307765e-17,5.727032036239791e-13,0.9999999999999991,-2.1982269257428916e-14,1.1278485837093059e-14,-1.2942004692760252e-12
S146,S146_G03_D01_B01_T03,glut_med1_r,Glut. medius,0.0061047978030468976,47.02114358644296,0.9604601196751823,6.137525703750186,-8.920363850264716,136.4304960528313
S146,S146_G03_D01_B01_T03,rect_fem_r,Rect. femoris,0.001583336415203756,1.9696468465873744,0.9996831740755961,-0.6862411769673136,0.34868772191962044,-5.15325747683725
S146,S146_G03_D01_B01_T03,vas_lat_r,Vast. lateralis,3.100093725780789e-17,5.761489890845563e-14,0.9999999999999998,4.1206919812437996e-14,-1.8720549311911563e-14,2.0633372080874086e-13
S146,S146_G03_D01_B01_T03,tib_ant_r,Tib. anterior,4.5548492052001025e-17,2.2253139581670918e-13,1.0,0.0,0.0,0.0
S146,S146_G03_D01_B01_T03,soleus_r,Soleus,4.5882185099539714e-17,2.0114213539444766e-13,1.0,0.0,0.0,0.0
S146,S146_G03_D01_B01_T03,med_gas_r,Med. gastrocnemius,5.766772200631274e-17,2.8756671294853074e-13,1.0,-1.2075951871903484e-14,2.5253591368938797e-14,-8.304381759598977e-13
S146,S146_G03_D01_B01_T03,semimem_r,Semimembranosus,0.0015247625645953317,3.4567050955013405,0.9985856239877715,-0.19022940853585502,0.7450902843493796,-8.578098930065096
S146,S146_G03_D01_B01_T03,semiten_r,Semitendinosus,0.0028853362375968515,5.339400120563249,0.9967055649076793,-0.37343814342001874,1.2076080549763868,-13.31808899541308
S146,S146_G03_D01_B01_T03,bifemlh_r,Biceps femoris LH,0.0024708621982844595,4.401317936349102,0.9987907293308279,-0.4308064475713692,1.1945397608947048,-11.962708785823931
S146,S146_G03_D01_B01_T03,bifemsh_r,Biceps femoris SH,4.3051936237599465e-17,5.982370279638781e-13,1.0,2.1984141737531752e-14,-1.1314538038786741e-14,1.1570499157633036e-12
