subject,task,segment_label,start_s,end_s,velocity_kmh,status,marker_ik,n_frames
elodie,ng,ng_v0,6.32,7.82,3.05,ok,/home/ilab/venv/OpenSim_Based_Estimation_of_Muscle_Tendon_Length_Trajectories_from_Commercial_IMU_Derived_Gait_Kinematics-2/gaitex_extra_tasks/marker_ik/elodie_ng_ng_v0_marker_ik_6.32_7.82.mot,151
elodie,ng,ng_v1,40.05,41.55,3.57,ok,/home/ilab/venv/OpenSim_Based_Estimation_of_Muscle_Tendon_Length_Trajectories_from_Commercial_IMU_Derived_Gait_Kinematics-2/gaitex_extra_tasks/marker_ik/elodie_ng_ng_v1_marker_ik_40.05_41.55.mot,151
elodie,ng,ng_v2,70.66,72.16,4.07,ok,/home/ilab/venv/OpenSim_Based_Estimation_of_Muscle_Tendon_Length_Trajectories_from_Commercial_IMU_Derived_Gait_Kinematics-2/gaitex_extra_tasks/marker_ik/elodie_ng_ng_v2_marker_ik_70.66_72.16.mot,151
elodie,gwo,gwo_v0,5.51,7.01,3.07,ok,/home/ilab/venv/OpenSim_Based_Estimation_of_Muscle_Tendon_Length_Trajectories_from_Commercial_IMU_Derived_Gait_Kinematics-2/gaitex_extra_tasks/marker_ik/elodie_gwo_gwo_v0_marker_ik_5.51_7.01.mot,151
elodie,gwo,gwo_v1,38.35,39.85,3.55,ok,/home/ilab/venv/OpenSim_Based_Estimation_of_Muscle_Tendon_Length_Trajectories_from_Commercial_IMU_Derived_Gait_Kinematics-2/gaitex_extra_tasks/marker_ik/elodie_gwo_gwo_v1_marker_ik_38.35_39.85.mot,151
elodie,gwo,gwo_v2,66.57,68.07,4.06,ok,/home/ilab/venv/OpenSim_Based_Estimation_of_Muscle_Tendon_Length_Trajectories_from_Commercial_IMU_Derived_Gait_Kinematics-2/gaitex_extra_tasks/marker_ik/elodie_gwo_gwo_v2_marker_ik_66.57_68.07.mot,151
elodie,rd,rd_correct,44.901,46.401,,ok,/home/ilab/venv/OpenSim_Based_Estimation_of_Muscle_Tendon_Length_Trajectories_from_Commercial_IMU_Derived_Gait_Kinematics-2/gaitex_extra_tasks/marker_ik/elodie_rd_rd_correct_marker_ik_44.90_46.40.mot,151
elodie,rd,rd_toes,101.671,103.171,,ok,/home/ilab/venv/OpenSim_Based_Estimation_of_Muscle_Tendon_Length_Trajectories_from_Commercial_IMU_Derived_Gait_Kinematics-2/gaitex_extra_tasks/marker_ik/elodie_rd_rd_toes_marker_ik_101.67_103.17.mot,151
elodie,rd,rd_supination,170.684,172.184,,ok,/home/ilab/venv/OpenSim_Based_Estimation_of_Muscle_Tendon_Length_Trajectories_from_Commercial_IMU_Derived_Gait_Kinematics-2/gaitex_extra_tasks/marker_ik/elodie_rd_rd_supination_marker_ik_170.68_172.18.mot,151
elodie,rd,rd_pronation,228.282,229.782,,ok,/home/ilab/venv/OpenSim_Based_Estimation_of_Muscle_Tendon_Length_Trajectories_from_Commercial_IMU_Derived_Gait_Kinematics-2/gaitex_extra_tasks/marker_ik/elodie_rd_rd_pronation_marker_ik_228.28_229.78.mot,151
elodie,rgs,rgs_correct,45.757,47.257,,ok,/home/ilab/venv/OpenSim_Based_Estimation_of_Muscle_Tendon_Length_Trajectories_from_Commercial_IMU_Derived_Gait_Kinematics-2/gaitex_extra_tasks/marker_ik/elodie_rgs_rgs_correct_marker_ik_45.76_47.26.mot,151
elodie,rgs,rgs_flexion,143.217,144.717,,ok,/home/ilab/venv/OpenSim_Based_Estimation_of_Muscle_Tendon_Length_Trajectories_from_Commercial_IMU_Derived_Gait_Kinematics-2/gaitex_extra_tasks/marker_ik/elodie_rgs_rgs_flexion_marker_ik_143.22_144.72.mot,151
elodie,rgs,rgs_abduction,253.739,255.239,,ok,/home/ilab/venv/OpenSim_Based_Estimation_of_Muscle_Tendon_Length_Trajectories_from_Commercial_IMU_Derived_Gait_Kinematics-2/gaitex_extra_tasks/marker_ik/elodie_rgs_rgs_abduction_marker_ik_253.74_255.24.mot,151
