task,segment_label,muscle,muscle_label,n_segments,median_imu_rom_mm,median_omc_rom_mm,median_mtu_corr,median_mtu_nrmse_pct,median_peak_phase_difference_pct_gait
rgs,rgs_correct,tib_ant_r,Tib. anterior,18,19.99403776003422,17.00846318980234,0.7997415125403065,25.5223271200214,15.5
rgs,rgs_correct,vas_lat_r,Vast. lateralis,18,50.6444958160429,51.10663986683531,0.9839189452594328,8.43516855019114,1.0
rgs,rgs_flexion,bifemlh_r,Biceps femoris LH,18,50.95308122614012,54.46932641988484,0.9868927125830976,15.620523672318743,3.0
rgs,rgs_flexion,bifemsh_r,Biceps femoris SH,18,7.8901943458458135,12.77952960439592,0.9882989048391757,15.096092178429211,5.0
rgs,rgs_flexion,glut_med1_r,Glut. medius,18,8.525887450795356,14.959703715550061,0.8889736941564075,81.81979120037892,16.0
rgs,rgs_flexion,med_gas_r,Med. gastrocnemius,18,30.6008826169831,22.95135459404066,0.9783709100175527,18.962601859763247,2.5
rgs,rgs_flexion,rect_fem_r,Rect. femoris,18,75.76664059547916,80.04933963051752,0.9950817284757302,13.250523700900615,1.0
rgs,rgs_flexion,semimem_r,Semimembranosus,18,37.88029739035359,41.895441458463274,0.9723745227545934,20.160401245067746,1.5
rgs,rgs_flexion,semiten_r,Semitendinosus,18,47.88154364398839,48.877030873934665,0.9765787115196283,18.553882637712015,1.5
rgs,rgs_flexion,soleus_r,Soleus,18,32.88579961292269,24.351036726151076,0.9869201344683173,14.056234694656258,2.0
rgs,rgs_flexion,tib_ant_r,Tib. anterior,18,29.813542494882633,25.907973014675985,0.9709380732360177,18.06087554536342,3.5
rgs,rgs_flexion,vas_lat_r,Vast. lateralis,18,43.160798039568185,42.71191147994475,0.9803432277999412,8.866319365495656,3.0
rgs,rgs_stork,bifemlh_r,Biceps femoris LH,18,66.23831844168492,66.34847672217687,0.9857210274241555,13.54622163743168,3.0
rgs,rgs_stork,bifemsh_r,Biceps femoris SH,18,26.17626901908737,30.87027618760965,0.9928788371007534,14.492732091778713,2.0
rgs,rgs_stork,glut_med1_r,Glut. medius,18,7.999467079936144,19.838234992096762,0.5851313045638569,95.53357500896851,18.5
rgs,rgs_stork,med_gas_r,Med. gastrocnemius,18,34.04826131076796,28.336386745281022,0.9875325392071985,17.8581628615335,3.5
rgs,rgs_stork,rect_fem_r,Rect. femoris,18,86.31085401949359,87.59805446110444,0.9865354664043946,11.25032759141708,1.0
rgs,rgs_stork,semimem_r,Semimembranosus,18,46.73105748435166,48.19415266730592,0.9760638884951987,17.279401852656292,2.0
rgs,rgs_stork,semiten_r,Semitendinosus,18,60.914467928449376,60.530874285066375,0.9719047416781348,17.49643969702878,1.5
rgs,rgs_stork,soleus_r,Soleus,18,39.998940516443206,34.943903901261564,0.9939977840233767,12.850248823824012,2.0
rgs,rgs_stork,tib_ant_r,Tib. anterior,18,33.84161092534746,28.86638110555939,0.9818941679432609,18.44238657966643,2.0
rgs,rgs_stork,vas_lat_r,Vast. lateralis,18,52.072191189589056,48.327546996296775,0.9586416020004502,17.021908208134658,1.0
