subject,task,segment_label,start_s,end_s,velocity_kmh,coordinate,rmse_deg,nrmse_pct_of_imu_rom,corr,imu_rom_deg,omc_rom_deg,mean_bias_deg
jung-hee,ng,ng_v2,69.7,71.2,4.6,hip_rotation_r,16.111821779105714,87.70309144757005,-0.08873517873479542,18.370870984334175,81.07301193,11.768761365128343
jung-hee,ng,ng_v2,69.7,71.2,4.6,knee_angle_r,2.6524285372836562,4.871161140462036,0.9868856408900661,54.451668930666294,57.58916853000001,-0.040804395396471536
jung-hee,ng,ng_v2,69.7,71.2,4.6,ankle_angle_r,2.8560730340890697,8.986966524710349,0.9418851672049642,31.780167715503104,30.35072112,-1.476946510091825
jung-hee,ng,ng_v2,69.7,71.2,4.6,hip_flexion_l,14.708127410019927,42.30994862438689,0.5148420933757043,34.7628108476179,131.54487908,0.29956350629252965
jung-hee,ng,ng_v2,69.7,71.2,4.6,hip_adduction_l,5.073724632588248,75.77939154290743,0.6954661135244722,6.695388454940851,23.71484231,1.5139234217121535
jung-hee,ng,ng_v2,69.7,71.2,4.6,hip_rotation_l,12.25857075988163,67.46770969081776,-0.04895045567314849,18.169537421766076,80.98831264,5.697907618899901
jung-hee,ng,ng_v2,69.7,71.2,4.6,knee_angle_l,5.038939924990743,9.304686897589438,0.9460075037138082,54.154857443899374,56.20335323,-0.5342476034601837
jung-hee,ng,ng_v2,69.7,71.2,4.6,ankle_angle_l,2.7428149222571614,7.893047975816541,0.9890708372927958,34.749756122867296,27.54015382,-1.5663919785453961
jung-hee,gwo,gwo_v0,6.8,8.3,3.6,pelvis_tilt,1.5511632021549173,19.163606337272842,0.9254322198643486,8.094317817090278,5.359977279999999,1.1188333680422695
jung-hee,gwo,gwo_v0,6.8,8.3,3.6,pelvis_list,0.9409920542942516,18.185228202789332,0.9813167437850023,5.174485817834928,3.87864566,-0.7660202422385403
jung-hee,gwo,gwo_v0,6.8,8.3,3.6,pelvis_rotation,0.5219025294642761,19.57714912706074,0.8837891408414525,2.6658760480241237,2.0845705800000003,-0.2656491678954652
jung-hee,gwo,gwo_v0,6.8,8.3,3.6,hip_flexion_r,3.2976429952315907,24.003252577314967,0.9628914854795949,13.73831727433528,9.5785164,-3.0189032291140774
jung-hee,gwo,gwo_v0,6.8,8.3,3.6,hip_adduction_r,0.9428461831756964,17.30005972574325,0.9326050464748814,5.449959122237594,4.966706820000001,-0.8156339326073707
jung-hee,gwo,gwo_v0,6.8,8.3,3.6,hip_rotation_r,2.722559223067569,45.877940368296244,0.5396652281617077,5.934353637525066,1.6554655399999998,2.430059683601066
jung-hee,gwo,gwo_v0,6.8,8.3,3.6,knee_angle_r,2.615043371586024,71.93612826711302,0.9584316187122052,3.635229521772221,4.730079489999998,-2.5348626031206285
jung-hee,gwo,gwo_v0,6.8,8.3,3.6,ankle_angle_r,3.4004518382978617,44.14274467542251,0.5876762955552769,7.7033085806083585,2.33576538,3.275262441197495
jung-hee,gwo,gwo_v0,6.8,8.3,3.6,hip_flexion_l,1.5571683424135228,12.798714454543859,0.9569744371774304,12.166599606108797,10.74937686,-0.9285547929532862
jung-hee,gwo,gwo_v0,6.8,8.3,3.6,hip_adduction_l,1.172165607663952,23.522335822135506,0.7332122459772731,4.983202418872427,2.792553169999999,0.7056336201690645
jung-hee,gwo,gwo_v0,6.8,8.3,3.6,hip_rotation_l,3.3940054272742906,117.74006173186619,-0.018221626699080944,2.8826258262065334,3.4689676699999996,3.082424381212255
jung-hee,gwo,gwo_v0,6.8,8.3,3.6,knee_angle_l,1.212838535309137,23.552012420664838,0.9340818164871921,5.149617423965763,6.64287323,0.20720867058552883
jung-hee,gwo,gwo_v0,6.8,8.3,3.6,ankle_angle_l,0.5545132139085307,59.959941844166444,-0.24032140927604248,0.9248061236444975,1.2670910599999994,-0.22694715071353241
jung-hee,gwo,gwo_v1,48.96,50.46,4.1,pelvis_tilt,5.150253006152206,57.96313898730124,0.30362689994843906,8.88539353826324,27.48962319,-3.270880472532141
jung-hee,gwo,gwo_v1,48.96,50.46,4.1,pelvis_list,4.209304558052266,54.847496582047775,0.22216588966632636,7.674560956041923,16.93781732,-2.654887499796842
jung-hee,gwo,gwo_v1,48.96,50.46,4.1,pelvis_rotation,1.5798753781750876,13.271338441691524,0.9665907403489685,11.904416311258817,17.81573831,1.0081970876872075
jung-hee,gwo,gwo_v1,48.96,50.46,4.1,hip_flexion_r,2.8982796896050185,6.040121769491266,0.9847048366766445,47.9837956950515,44.34357242,0.4365936226105142
jung-hee,gwo,gwo_v1,48.96,50.46,4.1,hip_adduction_r,4.977641328827804,92.9434207115399,0.35162590850926634,5.355560717177023,28.63793326,1.9739595776425198
jung-hee,gwo,gwo_v1,48.96,50.46,4.1,hip_rotation_r,16.103603904979924,191.32354052963655,-0.06917578173368044,8.416948515797213,106.69161979,2.7378912883602102
jung-hee,gwo,gwo_v1,48.96,50.46,4.1,knee_angle_r,7.310025291160996,91.23091143305095,0.45533220293588667,8.01266278757436,47.75744372,-2.9163074974207057
jung-hee,gwo,gwo_v1,48.96,50.46,4.1,ankle_angle_r,5.964107451978942,20.525650348960127,0.6471239646564904,29.05685009040942,41.38667142,-0.5933161498566322
jung-hee,gwo,gwo_v1,48.96,50.46,4.1,hip_flexion_l,7.2285835223739765,19.941600979785477,0.888131315367011,36.24876222175688,56.16621762,4.081501159324543
jung-hee,gwo,gwo_v1,48.96,50.46,4.1,hip_adduction_l,3.385341729271686,81.87861052073816,-0.02513339454165022,4.134586197471254,12.25645331,-2.0544386422283787
jung-hee,gwo,gwo_v1,48.96,50.46,4.1,hip_rotation_l,7.338196166458011,43.98088956543491,-0.03271435721133592,16.68496530871714,17.09872536,4.690918239463181
jung-hee,gwo,gwo_v1,48.96,50.46,4.1,knee_angle_l,2.7018657934318058,5.480240137368549,0.9816301831060533,49.30195987231251,51.44493314,0.15287619690939766
jung-hee,gwo,gwo_v1,48.96,50.46,4.1,ankle_angle_l,1.9318810931355028,5.799292607499529,0.988356560781747,33.31235762508746,25.590839360000004,-0.5539742786547371
jung-hee,gwo,gwo_v2,76.76,78.26,4.58,pelvis_tilt,4.04478555287501,72.25285210090385,0.26767796515043635,5.598098116910752,25.90453848,-2.6388327931568374
jung-hee,gwo,gwo_v2,76.76,78.26,4.58,pelvis_list,3.58953237076147,51.34454130770874,0.1934643005552141,6.9910691172589114,14.99853932,-2.4514780039941746
jung-hee,gwo,gwo_v2,76.76,78.26,4.58,pelvis_rotation,1.8878826745618569,20.003711972259865,0.9472387048180348,9.437661755877494,13.87467899,1.5046595895966923
jung-hee,gwo,gwo_v2,76.76,78.26,4.58,hip_flexion_r,2.8332405765755873,6.300468783104085,0.9876210851576482,44.96872652037361,40.5619516,-0.14227470838026693
jung-hee,gwo,gwo_v2,76.76,78.26,4.58,hip_adduction_r,3.9106607345886495,100.57260161228685,0.6150379183333562,3.888395718015202,28.444249120000002,1.9798301557358244
jung-hee,gwo,gwo_v2,76.76,78.26,4.58,hip_rotation_r,12.123712378083404,182.982010633725,-0.23014460856779123,6.62563075796092,104.90791289,-0.801817751983726
jung-hee,gwo,gwo_v2,76.76,78.26,4.58,knee_angle_r,6.425571300354741,79.85024493987008,0.5263727281521856,8.047027664340181,52.31097351,-2.110091623109227
jung-hee,gwo,gwo_v2,76.76,78.26,4.58,ankle_angle_r,4.1792809562621285,16.657131316401635,0.7577568116327816,25.090040276905015,39.2849719,-0.2552721046439203
jung-hee,gwo,gwo_v2,76.76,78.26,4.58,hip_flexion_l,5.378055548633429,13.174864841429457,0.9506795145876359,40.82057473350077,59.921635390000006,2.630001560423499
jung-hee,gwo,gwo_v2,76.76,78.26,4.58,hip_adduction_l,3.1497471469987692,83.50729332233125,-0.0049001200274269375,3.7718228213205345,11.105551779999999,-1.764797491759117
jung-hee,gwo,gwo_v2,76.76,78.26,4.58,hip_rotation_l,7.790622159230522,40.18441120285164,0.08422774756323013,19.387175091115108,16.667217360000002,5.163780863780594
jung-hee,gwo,gwo_v2,76.76,78.26,4.58,knee_angle_l,2.9788590025680253,5.9257220000001665,0.9882420547921087,50.26997558386879,51.00876515,-1.903644737945877
jung-hee,gwo,gwo_v2,76.76,78.26,4.58,ankle_angle_l,3.2949902439700387,9.524136460872795,0.9820813393830299,34.59620992944157,26.918617779999998,-2.142062017976675
jung-hee,rd,rd_correct,25.024,26.524,,pelvis_tilt,11.084275599178337,1195.40168311121,0.27755459212446787,0.927242763313656,1.646440169999999,11.072015576929235
jung-hee,rd,rd_correct,25.024,26.524,,pelvis_list,0.6600149916045699,32.3547649943046,0.9880931879103014,2.0399313415527884,2.61905178,-0.60698057711898
jung-hee,rd,rd_correct,25.024,26.524,,pelvis_rotation,355.30355794145623,23233.6695002942,0.8982432701933999,1.5292614794961992,2.147763959999992,-355.3035096092548
jung-hee,rd,rd_correct,25.024,26.524,,hip_flexion_r,14.779940355985772,1692.7117044349118,0.12255765002977682,0.8731516605729297,2.461885889999998,14.758013387552058
jung-hee,rd,rd_correct,25.024,26.524,,hip_adduction_r,3.3713012490086034,103.17313991208465,0.9730194402036236,3.2676152454808864,3.15311551,-3.3602036766278043
jung-hee,rd,rd_correct,25.024,26.524,,hip_rotation_r,0.907987495703917,75.99493110588186,0.8822635759632381,1.1948000774404814,1.8804444600000005,-0.83992748088496
jung-hee,rd,rd_correct,25.024,26.524,,knee_angle_r,4.116277740794907,105.19115100463677,0.9692970876155909,3.913140698131029,3.865580780000002,4.100672520254255
