subject,task,segment_label,start_s,end_s,velocity_kmh,muscle,muscle_label,rmse_m,nrmse_pct_of_imu_rom,corr,imu_rom_m,omc_rom_m,mean_bias_m,peak_phase_imu,peak_phase_omc
neves,rd,rd_pronation,205.817,207.317,,vas_lat_r,Vast. lateralis,0.0030507703564485924,68.02871230684633,0.7458461940901573,0.004484533446242472,0.007581961783747038,0.002560500485752308,31.0,8.0
neves,rd,rd_pronation,205.817,207.317,,tib_ant_r,Tib. anterior,0.0033465783172225544,18.904598001525066,0.9151806531529102,0.01770245692054695,0.01192121038940952,0.001900378516643157,62.0,13.0
neves,rd,rd_pronation,205.817,207.317,,soleus_r,Soleus,0.001538881473105183,11.207030819209571,0.9748433158223953,0.01373139324706274,0.012545082370172433,-0.0008651880925756173,95.0,100.0
neves,rd,rd_pronation,205.817,207.317,,med_gas_r,Med. gastrocnemius,0.001995073106816462,13.814343021320862,0.9633523059758056,0.014442041172260556,0.013412365505285129,-0.0013030153588798942,92.0,100.0
neves,rd,rd_pronation,205.817,207.317,,semimem_r,Semimembranosus,0.0077761448858018,685.7419767194708,0.12259435922937519,0.0011339753361755966,0.0009584977561805652,0.007768095600451082,12.0,100.0
neves,rd,rd_pronation,205.817,207.317,,semiten_r,Semitendinosus,0.009925061324801749,601.9742079535337,0.06754818032239704,0.001648751922203262,0.0012530450159579098,0.009911544508147399,12.0,100.0
neves,rd,rd_pronation,205.817,207.317,,bifemlh_r,Biceps femoris LH,0.010693810452647994,613.7658530489019,0.4198674691024896,0.0017423273711833498,0.0017502191219698204,0.010681684607242543,98.0,100.0
neves,rd,rd_pronation,205.817,207.317,,bifemsh_r,Biceps femoris SH,0.00012014926911757015,132.1185255202979,0.5646814146268742,9.094051621028054e-05,0.00028133818212511263,-8.969462942059201e-05,80.0,82.0
neves,rgs,rgs_correct,34.627,36.127,,glut_med1_r,Glut. medius,0.0033370523818220896,25.685650011689503,0.9300202408889288,0.01299189384073754,0.016530952208983374,-0.0020641819776790705,98.0,99.0
neves,rgs,rgs_correct,34.627,36.127,,rect_fem_r,Rect. femoris,0.0072901555661494324,11.91087042283763,0.9948310372310828,0.061205901058007106,0.055064883687530264,0.006597875163831381,19.0,23.0
neves,rgs,rgs_correct,34.627,36.127,,vas_lat_r,Vast. lateralis,0.0033445617869851778,7.40256036494564,0.9840125135416041,0.04518114844187074,0.04340960534912766,0.002019448004748782,98.0,99.0
neves,rgs,rgs_correct,34.627,36.127,,tib_ant_r,Tib. anterior,0.002370516178861996,11.49661970527421,0.8892227101319194,0.020619244957493843,0.01811370833629561,-0.0004442600043165361,41.0,41.0
neves,rgs,rgs_correct,34.627,36.127,,soleus_r,Soleus,0.0018732634623455453,8.973442226047764,0.9507585733637615,0.02087563963924466,0.02000732629527535,0.00098429546371228,72.0,74.0
neves,rgs,rgs_correct,34.627,36.127,,med_gas_r,Med. gastrocnemius,0.001923110945164722,9.671388736898475,0.9229638423602874,0.019884537758549925,0.018626249011362894,0.000465324635515892,68.0,69.0
neves,rgs,rgs_correct,34.627,36.127,,semimem_r,Semimembranosus,0.0061576110124851695,14.118683702026672,0.9982226741789111,0.04361320886876496,0.03489141802692153,-0.004986777485929602,72.0,73.0
neves,rgs,rgs_correct,34.627,36.127,,semiten_r,Semitendinosus,0.007492783388339007,14.09683553945618,0.9975154209081222,0.05315223666593233,0.041068865217628314,-0.005739469804716065,71.0,73.0
neves,rgs,rgs_correct,34.627,36.127,,bifemlh_r,Biceps femoris LH,0.007842745177783094,14.827059589626796,0.9966839596260033,0.05289481120902745,0.04249413810691699,-0.006562970307765386,70.0,68.0
neves,rgs,rgs_correct,34.627,36.127,,bifemsh_r,Biceps femoris SH,0.0010719237878292851,11.850984934669796,0.9892978729555615,0.009045018567979068,0.006758676276194586,0.0005030021891147576,33.0,75.0
neves,rgs,rgs_flexion,120.537,122.037,,glut_med1_r,Glut. medius,0.004445798494538212,58.282255690210775,0.8804799052316243,0.007628048094378989,0.01372384273101765,-0.004028054602974573,84.0,100.0
